French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
attention,Warning
voici,here is
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
enfant,child
point,point
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
eau,water
boulot,job
arrêter,Stop
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
